Skeleton_head|1.7009,0.0510,-0.7734|345.0000,220.0000,30.0000
Skeleton_head|1.9295,0.0470,-0.5372|329.9999,200.0000,315.0000
Skeleton_head|2.0078,-0.0108,0.5604|0.0000,300.0000,0.0000
Head_Candle_C|2.1661,2.3780,-0.7404|30.0000,270.0000,0.0000
Head_Candle_D|-6.1549,2.5583,0.9674|60.0000,80.0000,0.0000
Candle_B|-5.8114,1.2693,-1.4663|-0.0000,0.0000,0.0000
Candle_A|-5.8801,1.2693,-1.5066|-0.0000,0.0000,0.0000
Candle_Group_B|-5.7116,1.2693,-1.4673|-0.0000,110.0000,-0.0000
Candle_A|-3.0786,0.0019,1.8176|-0.0000,0.0000,0.0000
Candle_E|-3.1116,0.0019,1.6972|-0.0000,60.0000,-0.0000
Candle_G|-3.1436,0.0019,1.8207|-0.0000,0.0000,0.0000
Candle_Group_C|-3.2188,0.0019,1.7441|0.0000,240.0000,0.0000
Candle_C|-3.1610,0.0019,1.6222|-0.0000,0.0000,0.0000
Candle_G|-3.0793,0.0019,1.5851|-0.0000,0.0000,0.0000
Candle_A|-3.3016,0.0019,1.6496|-0.0000,0.0000,0.0000
Candle_E|-3.2429,0.0019,1.5459|-0.0000,0.0000,0.0000
Candle_H|-2.0331,0.0019,-0.3499|-0.0000,0.0000,0.0000
Candle_Group_B|-1.9166,0.0019,-0.3116|-0.0000,80.0000,-0.0000
Candle_E|-2.0611,0.0019,-0.1489|0.0000,260.0000,0.0000
Candle_H|-1.9652,0.0019,-0.1798|-0.0000,90.0000,-0.0000
Candle_G|-1.9750,0.0019,-0.4194|-0.0000,0.0000,0.0000
Candle_Group_A|-1.9894,0.0019,-0.0727|-0.0000,50.0000,-0.0000
Candle_A|-1.9312,0.0019,-0.1493|-0.0000,0.0000,0.0000
Candle_E|-2.0787,0.0019,-0.4544|-0.0000,0.0000,0.0000
Candle_Group_B|-2.0676,0.0019,-0.2726|-0.0000,120.0000,-0.0000
Witch Hat|1.1660,1.5418,-0.0890|344.9999,240.0000,330.0000
Candle_Group_C|2.0136,0.0019,-3.5018|-0.0000,10.0000,-0.0000
Candle_G|1.9401,0.0615,-3.6109|-0.0000,0.0000,0.0000
Candle_G|1.8639,0.0019,-3.5291|-0.0000,0.0000,0.0000
Candle_F|1.8663,0.0615,-3.6192|-0.0000,0.0000,0.0000
Candle_Group_B|2.0986,0.0019,-3.4353|0.0000,280.0000,0.0000
Candle_C|2.0977,0.0019,-3.3022|-0.0000,0.0000,0.0000
Pumpkin_D|-1.4155,0.6635,3.1994|-0.0000,70.0000,-0.0000
Pumpkin_F|1.2299,0.7636,-0.5675|0.0000,210.0000,0.0000
Candle_Group_A|-0.7484,1.3309,-3.2221|-0.0000,0.0000,0.0000
Candle_B|-0.6120,1.3309,-3.2131|-0.0000,0.0000,0.0000
Candle_Group_C|-0.8795,1.3309,-3.3118|0.0000,300.0000,0.0000
Candle_Group_A|1.9819,0.0019,-3.3633|0.0000,320.0000,0.0000
Candle_D|-0.9531,1.3309,-3.1717|-0.0000,0.0000,0.0000
Candle_B|-0.9075,1.3309,-3.4388|-0.0000,0.0000,0.0000
Candle_B|-0.5595,1.3309,-3.2709|-0.0000,0.0000,0.0000
Candle_F|-0.5064,1.3309,-3.2140|-0.0000,0.0000,0.0000
