Candle_C|1.6780,0.0000,2.3114|-0.0000,0.0000,0.0000
Candle_G|1.8482,0.0000,2.7060|-0.0000,0.0000,0.0000
Candle_D|2.4019,0.0000,3.8495|-0.0000,0.0000,0.0000
Candle_A|2.6040,0.0000,4.2132|-0.0000,0.0000,0.0000
Candle_B|2.7404,0.0000,3.8546|-0.0000,0.0000,0.0000
Candle_C|3.0261,0.0000,2.5373|-0.0000,0.0000,0.0000
Candle_E|3.1006,0.0000,2.2104|-0.0000,0.0000,0.0000
Candle_G|2.0867,0.0000,2.5808|-0.0000,0.0000,0.0000
Candle_C|2.7073,0.0000,2.5199|-0.0000,0.0000,0.0000
Candle_H|2.2991,0.0000,3.4588|-0.0000,0.0000,0.0000
Candle_A|1.9848,0.0000,3.4591|-0.0000,0.0000,0.0000
Candle_F|2.4377,0.0000,2.8114|-0.0000,0.0000,0.0000
Candle_H|2.0537,0.0000,3.0718|-0.0000,0.0000,0.0000
Candle_F|1.8158,0.0000,3.2700|-0.0000,0.0000,0.0000
Candle_A|1.5651,0.0000,3.4768|-0.0000,0.0000,0.0000
Candle_H|2.8169,0.0000,3.3545|-0.0000,0.0000,0.0000
Candle_D|3.2049,0.0000,3.2032|-0.0000,0.0000,0.0000
Candle_A|3.4422,0.0000,3.3273|-0.0000,0.0000,0.0000
Candle_B|3.1380,0.0000,3.3585|-0.0000,0.0000,0.0000
Candle_H|2.9096,0.0000,2.9599|-0.0000,0.0000,0.0000
Candle_Group_B|0.2914,0.8881,0.5538|0.0000,340.0000,0.0000
book-evil-open|2.5047,0.0000,3.1400|0.0000,210.0000,0.0000
Skeleton_left_arm_a|-5.2542,1.5495,-3.4990|285.0000,0.0000,0.0000
