Candle_G|-2.9437,-0.0249,0.8114|-0.0000,0.0000,0.0000
Candle_Group_A|-2.3410,-0.0249,0.7887|-0.0000,0.0000,0.0000
Candle_C|-1.3412,-0.0250,0.7155|-0.0000,0.0000,0.0000
Candle_Group_A|-0.6216,-0.0250,0.7306|-0.0000,0.0000,0.0000
Candle_F|0.1112,-0.0250,0.7222|-0.0000,0.0000,0.0000
Candle_D|0.8285,-0.0251,0.7456|-0.0000,0.0000,0.0000
Candle_H|1.7487,-0.0251,0.6894|-0.0000,0.0000,0.0000
Candle_F|1.7224,-0.0251,-0.7631|-0.0000,0.0000,0.0000
Candle_C|0.7283,-0.0251,-0.8454|-0.0000,0.0000,0.0000
Candle_E|-0.0935,-0.0251,-0.7625|-0.0000,0.0000,0.0000
Candle_Group_B|-0.9331,-0.0250,-0.8361|-0.0000,0.0000,0.0000
Candle_D|-1.9144,-0.0250,-0.8605|-0.0000,0.0000,0.0000
Candle_B|-2.7403,-0.0250,-0.8291|-0.0000,0.0000,0.0000
Candle_A|-3.1637,-0.0249,-0.8332|-0.0000,0.0000,0.0000
Spooky Tree_ b|3.7411,0.2040,-0.0078|0.0000,270.0000,0.0000
