Skeleton|-7.7224,1.6905,-1.3628|90.0000,90.0000,0.0000
Skeleton_pelvis_ribs|8.2023,2.0945,1.7483|-0.0000,110.0000,-0.0000
Skeleton_right_leg_b|8.6704,1.9871,1.6300|48.5905,110.0000,124.1066
Skeleton_left_leg_b|8.5785,1.8418,1.5728|69.5000,113.5658,247.7591
Skeleton_head|7.9774,2.1568,1.8585|270.0000,80.0000,0.0000
Candle_d|-7.4123,1.9063,-1.4999|-0.0000,0.0000,0.0000
wooden coffin b|2.3440,0.0000,-5.3836|-0.0000,30.0000,-0.0000
wooden coffin b|1.2717,-0.0000,2.6592|0.0000,200.0000,0.0000
wooden coffin b|-2.1945,0.0000,-4.9971|-0.0000,40.0000,-0.0000
wooden coffin b|-4.5920,-0.0000,2.1996|0.0000,300.0000,0.0000
wooden coffin b|2.1750,0.0000,-1.3782|-0.0000,0.0000,0.0000
Candle_Group_C|1.0028,0.0116,2.0542|0.0000,320.0000,0.0000
Candle_A|2.2346,-0.0065,-0.9389|-0.0000,0.0000,0.0000
Candle_E|2.9984,0.0000,-1.8839|-0.0000,0.0000,0.0000
Candle_A|3.4983,0.0000,-5.2252|-0.0000,0.0000,0.0000
Candle_Group_C|2.6922,0.0014,-4.9467|-0.0000,0.0000,-0.0000
Candle_Group_C|-1.2465,0.0000,-4.6016|-0.0000,50.0000,-0.0000
Candle_H|-3.8700,-0.0000,2.0329|-0.0000,0.0000,0.0000
Candle_A|-3.8193,-0.0000,2.0725|-0.0000,0.0000,0.0000
book-evil|-7.3353,1.9408,-1.2578|7.5000,240.0000,0.0000
Candle_D|8.5817,1.0617,2.8935|-0.0000,0.0000,0.0000
Candle_Group_C|9.1828,1.7835,0.8591|0.0000,320.0000,0.0000
Candle_C|9.1494,1.7835,0.7769|-0.0000,0.0000,0.0000
Candle_H|9.3525,1.7835,0.8916|-0.0000,0.0000,0.0000
Candle_C|6.9680,2.0945,1.8075|-0.0000,0.0000,0.0000
Candle_E|6.9752,2.0945,1.8697|-0.0000,0.0000,0.0000
